Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-6.929765435398711,0.043320883245174316,0.0,-7.014672806337717,-6.844858064459705
pm10_mean,-0.001396449317942664,0.00010777132818018563,2.130192335070017e-38,-0.0016076772397418744,-0.0011852213961434537
pm10_lag1,-0.0001548587156891604,0.00010243243884827833,0.13058138413085832,-0.00035562260668038745,4.590517530206662e-05
o3_mean,-0.00024180219153871824,0.00016605634728120283,0.14535242057443215,-0.0005672666516141515,8.366226853671505e-05
o3_lag1,-0.0004378722972912252,0.00016720229988845085,0.008823515656661427,-0.0007655827832048544,-0.00011016181137759603
weekly_mean,0.0001832828615991751,0.00058414670521228,0.7537020375809067,-0.0009616236423046294,0.0013281893655029797
temp_lag1,-0.009385542989931946,0.0006380025616339586,5.493491262162978e-49,-0.010636005032778801,-0.00813508094708509
urban_pct,-0.0013558181623451798,5.6549300124764115e-05,4.966817225525019e-127,-0.001466652753940664,-0.0012449835707496956
forest_pct,-0.003219977408757378,7.31727002008988e-05,0.0,-0.0033633932658026864,-0.0030765615517120695
elderly_pct,0.7011232688104023,0.10736561378067833,6.566420845757549e-11,0.4906905326222355,0.9115560049985691
child_pct,-1.9688641151872608,0.34325216649857315,9.698918946538715e-09,-2.6416259991398103,-1.2961022312347112
