Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-8.295696607136344,0.14850639756575276,0.0,-8.586763797839007,-8.004629416433682
weekly_mean,-0.007251420844567733,0.0004965236013692842,2.633556454855122e-48,-0.008224589220725652,-0.006278252468409813
pm10_mean,-0.0026221367597525414,0.00012759448536665033,7.609730948761771e-94,-0.002872217355697099,-0.0023720561638079837
o3_mean,-0.006398789124248049,0.00017050866869456049,3.2624778443755224e-308,-0.006732979973941259,-0.006064598274554838
warm_temp,-0.25059024308636774,0.00875664186351983,4.109522544689825e-180,-0.2677529457643823,-0.23342754040835317
pm10_mean:warm_temp,0.004500779418738145,0.0001698219824854422,8.968186931797665e-155,0.004167934449283486,0.004833624388192803
o3_mean:warm_temp,0.0060661368969448775,0.0001912546204378864,8.887842155209533e-221,0.005691284729009742,0.006440989064880013
urban_pct,-0.0019220612248550203,6.787722178102658e-05,2.1506719806446527e-176,-0.0020550981349164704,-0.0017890243147935705
forest_pct,-0.0026271830653322964,7.00462817242812e-05,7.247103601519818e-308,-0.0027644712547628338,-0.002489894875901759
elderly_pct,0.45683359738116075,0.11101670899028235,3.871818356420366e-05,0.2392448460780433,0.6744223486842782
child_pct,-0.7327030494265867,0.34656345454532583,0.034498535288382794,-1.4119549386932095,-0.053451160159963984
female_pct,2.8965850349929827,0.2820041248919354,9.479112586926129e-25,2.343867106713054,3.4493029632729115
