Variable,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Intercept,-5.39911157214332,0.14575354322033204,2.3499581821522872e-300,-5.684783267474272,-5.113439876812367
weekly_mean,-0.0072514208445673715,0.0004965236013692808,2.6335564548792974e-48,-0.008224589220725284,-0.006278252468409459
pm10_mean,-0.0026221367597524738,0.00012759448536664968,7.609730948828541e-94,-0.0028722173556970302,-0.0023720561638079173
o3_mean,-0.006398789124247872,0.0001705086686945608,3.2624778445113687e-308,-0.006732979973941083,-0.00606459827455466
warm_temp,-0.25059024308636485,0.008756641863519803,4.109522544718123e-180,-0.26775294576437936,-0.23342754040835034
pm10_mean:warm_temp,0.00450077941873839,0.00016982198248544037,8.968186931386193e-155,0.004167934449283735,0.004833624388193045
o3_mean:warm_temp,0.0060661368969445505,0.0001912546204378875,8.887842155744075e-221,0.005691284729009413,0.006440989064879688
urban_pct,-0.001922061224854852,6.787722178102627e-05,2.150671980787744e-176,-0.002055098134916301,-0.0017890243147934029
forest_pct,-0.002627183065332464,7.004628172428072e-05,7.247103600797568e-308,-0.0027644712547630007,-0.0024898948759019277
elderly_pct,0.4568335973811945,0.11101670899028272,3.871818356415483e-05,0.23924484607807633,0.6744223486843126
child_pct,-0.7327030494265991,0.3465634545453269,0.03449853528838026,-1.411954938693224,-0.05345116015997431
male_pct,-2.896585034992732,0.28200412489193605,9.479112587015997e-25,-3.449302963272662,-2.3438671067128016
